[Polygons]
;;Subcatchment   X-Coord            Y-Coord           
;;-------------- ------------------ ------------------
S1000            13460563.000       289868.313        
S1000            13460424.000       289458.813        
S1000            13460392.000       289363.000        
S1000            13460064.000       288733.375        
S1000            13459973.000       288620.281        
S1000            13459639.000       288206.719        
S1000            13459628.000       288194.813        
S1000            13459472.000       288023.719        
S1000            13459454.000       288000.937        
S1000            13458991.000       287411.688        
S1000            13458569.000       287116.750        
S1000            13458489.000       286984.156        
S1000            13458056.000       286264.594        
S1000            13457826.000       286355.156        
S1000            13457797.000       286366.563        
S1000            13457421.000       286551.750        
S1000            13456801.000       286857.156        
S1000            13456772.000       286871.438        
S1000            13456595.000       286958.594        
S1000            13456361.000       287073.875        
S1000            13456216.000       287145.313        
S1000            13456520.000       287692.750        
S1000            13456945.000       288434.750        
S1000            13457483.000       289393.000        
S1000            13458108.342       289706.649        
S1000            13458212.882       289479.433        
S1000            13460790.906       290857.960        
S1000            13461340.065       290637.293        
S1000            13461418.957       290605.592        
S1000            13461074.000       290403.687        
S1000            13460873.000       290286.313        
S1000            13460657.000       290049.750        
S1000            13460563.000       289868.313        
S1003            13458489.000       286984.156        
S1003            13458569.000       287116.750        
S1003            13458991.000       287411.688        
S1003            13459454.000       288000.937        
S1003            13459472.000       288023.719        
S1003            13459628.000       288194.813        
S1003            13459639.000       288206.719        
S1003            13459973.000       288620.281        
S1003            13460064.000       288733.375        
S1003            13460392.000       289363.000        
S1003            13460424.000       289458.813        
S1003            13460722.000       289409.719        
S1003            13460819.000       288974.969        
S1003            13460888.000       288713.875        
S1003            13460953.000       288457.625        
S1003            13461040.000       288116.625        
S1003            13461145.000       287702.125        
S1003            13461255.000       287412.031        
S1003            13461340.000       287125.562        
S1003            13461330.000       286868.875        
S1003            13461323.000       286776.000        
S1003            13461255.000       286653.219        
S1003            13461184.000       286523.875        
S1003            13460696.000       286572.656        
S1003            13459976.000       286690.281        
S1003            13459401.000       286799.406        
S1003            13458896.000       286898.531        
S1003            13458489.000       286984.156        
S100715          13460653.898       291134.351        
S100715          13460743.749       290984.599        
S100715          13460880.698       291051.047        
S100715          13461035.765       290837.829        
S100715          13461719.236       291107.525        
S100715          13461817.752       290927.477        
S100715          13461340.065       290637.293        
S100715          13460790.906       290857.960        
S100715          13458212.882       289479.433        
S100715          13458108.342       289706.649        
S100715          13457861.985       290242.099        
S100715          13458234.366       290829.315        
S100715          13458578.102       291219.599        
S100715          13458628.231       291409.370        
S100715          13458628.231       291683.285        
S100715          13458732.068       291719.091        
S100715          13460150.556       292474.501        
S100715          13460793.472       291196.422        
S100715          13460653.898       291134.351        
S100730          13461719.236       291107.525        
S100730          13461035.765       290837.829        
S100730          13460880.698       291051.047        
S100730          13460743.749       290984.599        
S100730          13460653.898       291134.351        
S100730          13460793.472       291196.422        
S100730          13460150.556       292474.501        
S100730          13461895.712       293629.077        
S100730          13462178.030       293145.058        
S100730          13462469.544       292641.858        
S100730          13462019.847       292116.007        
S100730          13462307.136       291597.675        
S100730          13461667.748       291201.624        
S100730          13461719.236       291107.525        
S1011            13463028.212       291104.341        
S1011            13462866.577       290901.348        
S1011            13462461.941       290376.328        
S1011            13462222.914       290480.903        
S1011            13462208.903       290487.032        
S1011            13462145.368       290494.755        
S1011            13462044.111       290507.062        
S1011            13461936.694       290564.351        
S1011            13461604.787       290544.634        
S1011            13461575.054       290542.868        
S1011            13461418.957       290605.592        
S1011            13461340.065       290637.293        
S1011            13461817.752       290927.477        
S1011            13461719.236       291107.525        
S1011            13461667.748       291201.624        
S1011            13462307.136       291597.675        
S1011            13462019.847       292116.007        
S1011            13462469.544       292641.858        
S1011            13463028.212       291104.341        
S101910          13464183.000       291937.781        
S101910          13463907.000       291903.563        
S101910          13463634.000       291843.313        
S101910          13463243.000       291637.313        
S101910          13463176.568       291453.020        
S101910          13463041.496       291121.024        
S101910          13463028.212       291104.341        
S101910          13462469.544       292641.858        
S101910          13462178.030       293145.058        
S101910          13463248.969       293690.820        
S101910          13464183.000       291937.781        
S101919          13463248.969       293690.820        
S101919          13462178.030       293145.058        
S101919          13461895.712       293629.077        
S101919          13460150.556       292474.501        
S101919          13459657.000       293595.344        
S101919          13459597.000       293657.000        
S101919          13459492.000       293656.969        
S101919          13459305.000       293740.250        
S101919          13459495.000       294326.062        
S101919          13460089.490       295429.714        
S101919          13459976.717       295611.841        
S101919          13459612.000       296267.375        
S101919          13459053.388       297298.503        
S101919          13461311.000       298534.813        
S101919          13461452.000       298276.625        
S101919          13461136.000       297510.656        
S101919          13462454.000       295058.656        
S101919          13462842.000       294389.969        
S101919          13463248.969       293690.820        
S101925          13466558.806       293102.503        
S101925          13465612.000       292591.125        
S101925          13465425.000       292517.125        
S101925          13465710.000       292132.969        
S101925          13465921.000       291663.375        
S101925          13466102.000       291423.437        
S101925          13466205.000       291321.938        
S101925          13466027.000       291118.000        
S101925          13465527.000       291461.156        
S101925          13465006.000       292353.250        
S101925          13464932.000       292324.594        
S101925          13464472.000       292089.750        
S101925          13464183.000       291937.781        
S101925          13463248.969       293690.820        
S101925          13462842.000       294389.969        
S101925          13462454.000       295058.656        
S101925          13464563.000       296322.094        
S101925          13465489.507       294725.803        
S101925          13465924.871       294958.352        
S101925          13466216.000       294452.344        
S101925          13465912.068       294292.578        
S101925          13466558.806       293102.503        
S101945          13462494.000       299790.687        
S101945          13462467.000       299564.750        
S101945          13463258.457       298148.900        
S101945          13463479.000       298274.250        
S101945          13463817.778       297663.592        
S101945          13464138.114       297086.178        
S101945          13464580.518       297307.768        
S101945          13465030.195       296575.099        
S101945          13464563.000       296322.094        
S101945          13462454.000       295058.656        
S101945          13461136.000       297510.656        
S101945          13461452.000       298276.625        
S101945          13461311.000       298534.813        
S101945          13460773.176       299504.625        
S101945          13460223.408       299179.698        
S101945          13460035.326       299484.339        
S101945          13460317.000       299676.390        
S101945          13460082.231       300074.518        
S101945          13460741.000       299990.406        
S101945          13461478.000       299906.437        
S101945          13462494.000       299790.687        
S102505          13467218.010       294990.360        
S102505          13467898.000       293830.656        
S102505          13467245.000       293475.906        
S102505          13467579.000       292883.375        
S102505          13467355.000       292764.813        
S102505          13467034.000       293360.687        
S102505          13466815.000       293240.875        
S102505          13466558.806       293102.503        
S102505          13465912.068       294292.578        
S102505          13466216.000       294452.344        
S102505          13465924.871       294958.352        
S102505          13465489.507       294725.803        
S102505          13464563.000       296322.094        
S102505          13465030.195       296575.099        
S102505          13465395.000       296772.656        
S102505          13465681.607       296949.274        
S102505          13466885.123       294798.310        
S102505          13467218.010       294990.360        
S1031            13461214.833       305402.269        
S1031            13460252.000       305374.219        
S1031            13459499.000       305369.625        
S1031            13458871.000       306445.000        
S1031            13458857.000       306468.750        
S1031            13458687.000       306760.969        
S1031            13458680.000       306772.563        
S1031            13458464.000       307142.813        
S1031            13458045.000       307443.219        
S1031            13457893.000       307739.313        
S1031            13458826.000       308251.719        
S1031            13459410.000       308572.531        
S1031            13459901.000       307696.188        
S1031            13461214.833       305402.269        
S103110          13465203.219       298675.219        
S103110          13466014.494       297166.931        
S103110          13467218.010       294990.360        
S103110          13466885.123       294798.310        
S103110          13465681.607       296949.274        
S103110          13465395.000       296772.656        
S103110          13465030.195       296575.099        
S103110          13464580.518       297307.768        
S103110          13464138.114       297086.178        
S103110          13463817.778       297663.592        
S103110          13464964.619       298293.627        
S103110          13464746.962       298652.121        
S103110          13465105.456       298856.975        
S103110          13465203.219       298675.219        
S103115          13463351.396       301699.320        
S103115          13463633.070       301123.169        
S103115          13463812.317       301123.169        
S103115          13464678.000       299531.125        
S103115          13465064.000       298990.656        
S103115          13465105.456       298856.975        
S103115          13464746.962       298652.121        
S103115          13464964.619       298293.627        
S103115          13463817.778       297663.592        
S103115          13463479.000       298274.250        
S103115          13463258.457       298148.900        
S103115          13462467.000       299564.750        
S103115          13462494.000       299790.687        
S103115          13463056.919       300559.821        
S103115          13462653.000       301136.500        
S103115          13462530.000       301358.594        
S103115          13462008.000       301077.469        
S103115          13461359.009       302230.336        
S103115          13461048.000       302782.813        
S103115          13461535.000       303063.031        
S103115          13460252.000       305374.219        
S103115          13461214.833       305402.269        
S103115          13462012.000       304010.437        
S103115          13463351.396       301699.320        
S103150          13466252.756       297970.702        
S103150          13466325.000       297843.500        
S103150          13466549.000       297408.969        
S103150          13467383.000       295891.063        
S103150          13467920.000       296191.219        
S103150          13468228.000       295577.313        
S103150          13468621.000       294764.125        
S103150          13467898.000       293830.656        
S103150          13467218.010       294990.360        
S103150          13466014.494       297166.931        
S103150          13465203.219       298675.219        
S103150          13465714.000       298964.375        
S103150          13465806.799       299022.703        
S103150          13465963.251       298728.382        
S103150          13465853.000       298674.563        
S103150          13466252.756       297970.702        
S103155          13465412.205       300677.750        
S103155          13466027.298       299522.749        
S103155          13465547.000       299252.406        
S103155          13465714.000       298964.375        
S103155          13465203.219       298675.219        
S103155          13465105.456       298856.975        
S103155          13465064.000       298990.656        
S103155          13464678.000       299531.125        
S103155          13463812.317       301123.169        
S103155          13463633.070       301123.169        
S103155          13463351.396       301699.320        
S103155          13463961.821       302032.473        
S103155          13464115.745       301774.050        
S103155          13464606.125       302057.814        
S103155          13464724.000       301790.969        
S103155          13465412.205       300677.750        
S103160          13462508.307       305073.368        
S103160          13462839.262       304477.649        
S103160          13462609.000       304321.000        
S103160          13462759.000       304051.906        
S103160          13463961.821       302032.473        
S103160          13463351.396       301699.320        
S103160          13462012.000       304010.437        
S103160          13461214.833       305402.269        
S103160          13461879.010       305412.294        
S103160          13462160.684       304861.750        
S103160          13462508.307       305073.368        
S103175          13468920.000       295184.250        
S103175          13468621.000       294764.125        
S103175          13468228.000       295577.313        
S103175          13467920.000       296191.219        
S103175          13467383.000       295891.063        
S103175          13466549.000       297408.969        
S103175          13466325.000       297843.500        
S103175          13466252.756       297970.702        
S103175          13467068.965       298422.500        
S103175          13468521.000       295872.375        
S103175          13468920.000       295184.250        
S103180          13467068.965       298422.500        
S103180          13466252.756       297970.702        
S103180          13465853.000       298674.563        
S103180          13465963.251       298728.382        
S103180          13465806.799       299022.703        
S103180          13465714.000       298964.375        
S103180          13465547.000       299252.406        
S103180          13466027.298       299522.749        
S103180          13465412.205       300677.750        
S103180          13465739.000       300823.531        
S103180          13465878.000       300561.219        
S103180          13467068.965       298422.500        
S103185          13465574.598       302605.566        
S103185          13464964.619       302288.275        
S103185          13465127.000       301979.250        
S103185          13465739.000       300823.531        
S103185          13465412.205       300677.750        
S103185          13464724.000       301790.969        
S103185          13464606.125       302057.814        
S103185          13464115.745       301774.050        
S103185          13463961.821       302032.473        
S103185          13462759.000       304051.906        
S103185          13462609.000       304321.000        
S103185          13462839.262       304477.649        
